Name,Page Title,Page,Total Played Time
C1040,第二單元 04 資料輸出 - PIPLS,/334983/04,1012
C1053,第六單元 02 for迴圈一 - PIPLS,/352968/02-for,1006
C1004,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,1000
C1043,第四單元 02 字串的函式與運算子（二） - PIPLS,/339441/02,998
C1054,第七單元 01 什麼是串列 - PIPLS,/357348/01,998
C1055,第七單元 01 什麼是串列 - PIPLS,/357348/01,996
C1056,第七單元 06 字典的應用範例 - PIPLS,/357353/06,996
C1057,第三單元 01 算數運算子 - PIPLS,/339531/01,994
C1000,第六單元 04 for迴圈三 - PIPLS,/352976/04-for,986
C1058,第二單元 01 什麼是變數？ - PIPLS,/335016/01,986
C1059,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,980
C1060,第二單元 01 什麼是變數？ - PIPLS,/335016/01,980
C1061,第九單元 01 基本繪圖~線性圖 - PIPLS,/364452/01,974
C1062,第二單元 05 資料輸入 - PIPLS,/334984/05,974
C1063,第三單元 01 算數運算子 - PIPLS,/336599/01,970
C1010,第二單元 01 什麼是變數？ - PIPLS,/335016/01,970
C1064,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,970
C1065,第三單元 01 算數運算子 - PIPLS,/339531/01,966
C1066,第二單元 04 資料輸出 - PIPLS,/335019/04,966
C1067,第一單元 03 軟體使用簡介 - PIPLS,/334430/03,966
C1006,第三單元 03 數學模組 - PIPLS,/336606/03,964
C1068,第六單元 05 while迴圈一 - PIPLS,/352990/05-while,962
C1000,第五單元 02 單向選擇結構 - PIPLS,/349968/02,962
C1069,第二單元 01 什麼是變數？ - PIPLS,/335016/01,958
C1041,第三單元 03 數學模組 - PIPLS,/336606/03,958
C1070,第七單元 01 什麼是串列 - PIPLS,/357348/01,958
C1006,第六單元 02 for迴圈一 - PIPLS,/352968/02-for,954
C1071,第一單元 03 軟體使用簡介 - PIPLS,/280671/03,954
C1072,第三單元02內建數值處理函式 - PIPLS,/339532/02,952
C1047,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,952
C1073,第二單元 04 資料輸出 - PIPLS,/335019/04,950
C1074,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,950
C1002,第三單元 01 算數運算子 - PIPLS,/339531/01,950
C1075,第三單元 03 數學模組 - PIPLS,/336606/03,948
C1034,第九單元 01 基本繪圖~線性圖 - PIPLS,/364452/01,946
C1076,第七單元 01 什麼是串列 - PIPLS,/355059/01,944
C1061,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,940
C1020,第七單元 01 什麼是串列 - PIPLS,/355059/01,940
C1055,第四單元 06 字元及編碼 - PIPLS,/342997/06,936
C1028,第二單元 03 基本資料型態 - PIPLS,/334982/03,936
C1077,第三單元 03 數學模組 - PIPLS,/336606/03,934
C1025,第五單元 03 雙向選擇結構 - PIPLS,/349970/03,934
C1008,第八單元 04 具有傳回值的函式 - PIPLS,/359138/04,934
C1043,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,934
C1031,第二單元 01 什麼是變數？ - PIPLS,/335016/01,932
C1006,第二單元 03 基本資料型態 - PIPLS,/335018/03,928
C1008,第七單元 01 什麼是串列 - PIPLS,/355059/01,926
C1078,第五單元 01 關係與邏輯運算子 - PIPLS,/353002/01,926
C1079,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,924
C1034,第七單元 01 什麼是串列 - PIPLS,/357348/01,924
C1080,第五單元 01 關係與邏輯運算子 - PIPLS,/353002/01,922
C1081,第二單元 05 資料輸入 - PIPLS,/334984/05,922
C1060,第四單元 02 字串的函式與運算子（二） - PIPLS,/339441/02,922
C1058,第九單元 01 基本繪圖~線性圖 - PIPLS,/364484/01,920
C1082,第七單元 01 什麼是串列 - PIPLS,/357348/01,918
C1083,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,916
C1031,第四單元 01 字串的函式與運算子（一） - PIPLS,/339440/01,916
C1084,第三單元 03 數學模組 - PIPLS,/326274/03,916
C1031,第三單元 03 數學模組 - PIPLS,/336606/03,908
C1085,第四單元 05 字串的搜尋與邊緣刪減 - PIPLS,/342996/05,904
C1011,第五單元 01 關係與邏輯運算子 - PIPLS,/353002/01,902
C1086,第二單元 05 資料輸入 - PIPLS,/335020/05,902
C1087,第二單元 04 資料輸出 - PIPLS,/335019/04,902
C1088,第七單元 01 什麼是串列 - PIPLS,/357348/01,900
C1089,第六單元 06 while迴圈二 - PIPLS,/352995/06-while,900
C1013,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,900
C1090,第七單元 01 什麼是串列 - PIPLS,/357348/01,898
C1037,第二單元 05 資料輸入 - PIPLS,/334984/05,894
C1091,第二單元 01 什麼是變數？ - PIPLS,/334980/01,894
C1031,第四單元 06 字元及編碼 - PIPLS,/339447/06,892
C1025,第九單元 01 基本繪圖~線性圖 - PIPLS,/364484/01,892
C1061,第四單元 02 字串的函式與運算子（二） - PIPLS,/342992/02,888
C1085,第二單元 04 資料輸出 - PIPLS,/334983/04,888
C1025,第七單元 02 串列的基本操作 - PIPLS,/355071/02,886
C1092,第四單元 05 字串的搜尋與邊緣刪減 - PIPLS,/339446/05,884
C1025,第六單元 06 while迴圈二 - PIPLS,/352995/06-while,884
C1093,第二單元 01 什麼是變數？ - PIPLS,/335016/01,882
C1035,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,882
C1039,第四單元 05 字串的搜尋與邊緣刪減 - PIPLS,/342996/05,880
C1034,第三單元 01 算數運算子 - PIPLS,/339531/01,880
C1011,第七單元 01 什麼是串列 - PIPLS,/357348/01,880
C1094,第二單元 04 資料輸出 - PIPLS,/335019/04,880
C1002,第七單元 01 什麼是串列 - PIPLS,/357348/01,880
C1095,第七單元 01 什麼是串列 - PIPLS,/357348/01,878
C1031,第二單元 02 變數的命名 - PIPLS,/335017/02,878
C1043,第八單元 05 區域變數與全域變數 - PIPLS,/359139/05,878
C1029,第五單元 01 關係與邏輯運算子 - PIPLS,/353002/01,874
C1063,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,872
C1096,第四單元 02 字串的函式與運算子（二） - PIPLS,/339441/02,870
C1052,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,868
C1097,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,866
C1060,第二單元 03 基本資料型態 - PIPLS,/335018/03,866
C1054,第五單元 01 關係與邏輯運算子 - PIPLS,/0.5.98.234/01,866
C1048,第十一單元 05 表格內容之圖表繪製 - PIPLS,/366770/05,862
C1098,第七單元 01 什麼是串列 - PIPLS,/357348/01,862
C1099,第四單元 06 字元及編碼 - PIPLS,/339447/06,862
C1093,第七單元 01 什麼是串列 - PIPLS,/355059/01,860
C1100,第六單元 05 while迴圈一 - PIPLS,/352990/05-while,860
C1034,第二單元 05 資料輸入 - PIPLS,/334984/05,860
C1000,第六單元 03 for迴圈二 - PIPLS,/352974/03-for,858
C1101,第四單元 02 字串的函式與運算子（二） - PIPLS,/342992/02,858
C1049,第二單元 01 什麼是變數？ - PIPLS,/334980/01,858
C1049,第三單元 02 內建數值處理函式 - PIPLS,/339532/02,854
C1075,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,854
C1044,第七單元 01 什麼是串列 - PIPLS,/357348/01,854
C1056,第五單元 01 關係與邏輯運算子 - PIPLS,/353002/01,854
C1102,第五單元 01 關係與邏輯運算子 - PIPLS,/353002/01,854
C1034,第二單元 03 基本資料型態 - PIPLS,/334982/03,854
C1038,第七單元 03 處理串列的函式與方法 - PIPLS,/355078/03,850
C1000,第五單元 04 多向選擇結構 - PIPLS,/349972/04,850
C1103,第七單元 01 什麼是串列 - PIPLS,/357348/01,846
C1032,第六單元 04 for迴圈三 - PIPLS,/354611/04-for,846
C1078,第六單元 02 for迴圈一 - PIPLS,/354609/02-for,846
C1019,第二單元 03 基本資料型態 - PIPLS,/335018/03,846
C1101,第二單元 05 資料輸入 - PIPLS,/334984/05,846
C1104,第七單元 01 什麼是串列 - PIPLS,/357348/01,844
C1105,第一單元 03 軟體使用簡介 - PIPLS,/334430/03,844
C1050,第二單元 01 什麼是變數？ - PIPLS,/334980/01,842
C1077,第三單元 02 內建數值處理函式 - PIPLS,/336602/02,842
C1013,第四單元 06 字元及編碼 - PIPLS,/342997/06,840
C1090,第五單元 01 關係與邏輯運算子 - PIPLS,/353002/01,838
C1061,第五單元 01 關係與邏輯運算子 - PIPLS,/353002/01,836
